titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 256 GB negro 8 GB RAM,,1.149,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Apple iPhone 13 (128 GB) - Azul medianoche,,2.899,Nuevo | +1000 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - Blanco - Distribuidor autorizado,,,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - Negro - Distribuidor autorizado,,,Nuevo | +500 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Pocophone Poco X5 Pro 5G Dual SIM 256 GB azul 8 GB RAM,,1.159,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Apple iPhone 14 Pro Max (128 GB) - Morado oscuro,,4.700,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+100
Samsung Galaxy S22 Ultra (Snapdragon) 5G Dual SIM 256 GB phantom black 12 GB RAM,,3.799,Nuevo | +100 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (256 GB) - Morado oscuro,,4.999,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+500
Apple iPhone 13 (128 GB) - Blanco estelar,,2.899,Nuevo | +500 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi 12 Dual SIM 256 GB gris 8 GB RAM,,1.899,Nuevo | +100 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 11 (64 GB) - Negro,,1.849,Nuevo | +1000 vendidos,a todo el país,4.4,,,+5mil
Apple iPhone 14 Pro (128 GB) - Morado oscuro,,4.499,Nuevo | +100 vendidos,a todo el país,4.9,,MercadoLíder Gold,+1000
Xiaomi Poco C40 64gb 4gb Ram Dual Sim power black,,508,Nuevo | +100 vendidos,a todo el país,4.5,,MercadoLíder Gold,+100
Apple iPhone 13 (128 GB) - Azul medianoche - Distribuidor autorizado,,,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 128 GB gris grafito 4 GB RAM,,699,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Xiaomi Pocophone Poco M5s Dual SIM 128 GB gris 6 GB RAM,,839,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Xiaomi Pocophone Poco M5s Dual SIM 128 GB blanco 6 GB RAM,,899,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Apple iPhone 14 Pro (128 GB) - Color oro - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Samsung Galaxy S23 Ultra 512 GB negro 12 GB RAM,,4.556,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+500
Google Pixel 7 Pro 128 GB obsidiana 12 GB RAM,,4.149,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Apple iPhone 14 Plus (256 GB) - Morado,,4.640,Nuevo | +5 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Apple iPhone 14 (128 GB) - Morado - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (1 TB) - Morado oscuro,,6.880,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+1000
Google Pixel 6A 128 GB carbón 6 GB RAM,,1.899,Nuevo | +50 vendidos,a todo el país,4.8,,MercadoLíder,+50
Samsung Galaxy M14 5G 5G Dual SIM 128 GB dark blue 4 GB RAM,,649,Nuevo | +100 vendidos,a todo el país,4.6,,,+5mil
Apple iPhone 12 Pro (128 GB) - Azul pacífico,,3.499,Nuevo | +100 vendidos,a todo el país,4.1,,,+500
Apple iPhone 13 (256 GB) - Verde,,3.999,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 13 (512 GB) - Azul medianoche,,4.299,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 12 (64 GB) - Morado,,2.899,Nuevo | +5 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 64 GB gris grafito 4 GB RAM,,599,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (512 GB) - Color plata,,5.999,Nuevo | 2 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 13 mini (128 GB) - Verde,,3.499,Nuevo | 3 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (128 GB) - Verde alpino,,4.299,Nuevo | +25 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Honor Magic5 Lite Dual SIM 256 GB plata titanio 8 GB RAM,,1.199,Nuevo | +25 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud navy 6 GB RAM,,1.699,Nuevo | +50 vendidos,a todo el país,4.5,,,+500
Apple iPhone 12 Pro (256 GB) - Azul pacífico,,4.499,Nuevo | +25 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Xiaomi Redmi A2 Dual SIM 32 GB light blue 2 GB RAM,,349,Nuevo | +50 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Samsung Galaxy S20 FE 5G 5G 128 GB cloud navy 8 GB RAM,,1.899,Nuevo | +5 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Motorola Edge Edge 40 256 GB viva magenta 8 GB RAM,,1.599,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Samsung Galaxy A33 5G 5G Dual SIM 128 GB awesome black 6 GB RAM,,1.169,Nuevo | +100 vendidos,a todo el país,4.7,,,+500
Moto G31 128 GB azul cielo 4 GB RAM,,749,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Huawei P30 Lite 256 GB midnight black 6 GB RAM,,840,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Samsung Galaxy S22 Ultra 5G (Snapdragon) 5G Dual SIM 256 GB burgundy 12 GB RAM,,3.799,Nuevo | +5 vendidos,a todo el país,4.7,,MercadoLíder Gold,+500
Xiaomi 12 Lite 5G Dual SIM 256 GB rosa lite 8 GB RAM,,1.703,Nuevo | +25 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
iPhone 14 128 GB amarillo - Distribuidor autorizado,,,Nuevo | 3 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (128 GB) - Negro espacial - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 13 mini (128 GB) - Azul medianoche,,3.499,Nuevo | +50 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Motorola Edge 30 Fusion 256 GB quartz black 12 GB RAM,,2.599,Nuevo | +5 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (256 GB) - Color oro - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (128 GB) - Color oro - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro Max (256 GB) - Verde alpino,,5.399,Nuevo | +50 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (256 GB) - Grafito,,4.399,Nuevo | +25 vendidos,a todo el país,4.6,,MercadoLíder Gold,+500
Apple iPhone 11 (128 GB) - Blanco,,2.389,Nuevo | +500 vendidos,a todo el país,4.4,,MercadoLíder Gold,+100
Samsung Galaxy S20 Ultra 5G 5G 128 GB cosmic black 12 GB RAM,,2.299,Nuevo | +25 vendidos,a todo el país,4.5,,MercadoLíder Gold,+500
Xiaomi 12 Lite 5G Dual SIM 256 GB verde lite 8 GB RAM,,1.679,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Samsung Galaxy Z Flip4 5G 5G 128 GB graphite 8 GB RAM,,2.999,Nuevo | +5 vendidos,a todo el país,5.0,,MercadoLíder Gold,+1000
Xiaomi Redmi 10C Dual SIM 64 GB verde menta 4 GB RAM,,649,Nuevo | +25 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Xiaomi Mi 11T Dual SIM 256 GB meteorite gray 8 GB RAM,,1.629,Nuevo | +100 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Samsung Galaxy S22 Ultra 5G (Snapdragon) 5G 256 GB phantom black 12 GB RAM,,3.799,Nuevo | +25 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (256 GB) - Color plata,,5.099,Nuevo | +5 vendidos,a todo el país,4.9,,MercadoLíder Gold,+500
Apple iPhone 14 Pro (128 GB) - Morado oscuro - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro Max (512 GB) - Negro espacial,,5.740,Nuevo | +5 vendidos,a todo el país,4.8,,MercadoLíder Gold,+500
Apple iPhone 13 (128 GB) - (PRODUCT)RED,,3.299,Nuevo | +25 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10C Dual SIM 128 GB verde menta 4 GB RAM,,699,Nuevo | +50 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 14 Plus (128 GB) - (PRODUCT)RED - Distribuidor autorizado,,,Nuevo | +5 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro Max (256 GB) - Oro,,4.399,Nuevo | +50 vendidos,a todo el país,4.5,,MercadoLíder Gold,+500
Xiaomi Redmi A1 2022 Dual SIM 32 GB negro 2 GB RAM,,349,Nuevo | +100 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Galaxy A54 5g Light Violet 128gb,#630179320,,,,,,,+5mil
Apple iPhone 11 (64 GB) - Blanco,,1.849,Nuevo | +1000 vendidos,a todo el país,4.4,,,+5mil
iPro K2 Dual SIM 4 GB negro 512 MB RAM,,149,Nuevo | +25 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Apple iPhone 11 (64 GB) - Morado,,2.399,Nuevo | +500 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Apple iPhone 14 (128 GB) - Medianoche - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
iPhone 11 Pro Max 256 GB verde medianoche,,3.899,Nuevo | +25 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (128 GB) - Plata,,4.099,Nuevo | +50 vendidos,a todo el país,4.6,,MercadoLíder Gold,+500
Samsung Galaxy S23 Dual SIM 256 GB lavander 8 GB RAM,,3.799,Nuevo | +5 vendidos,a todo el país,4.8,,,+5mil
Apple iPhone 14 (128 GB) - Azul - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (256 GB) - Azul Sierra,,4.599,Nuevo | +50 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Apple iPhone 13 (128 GB) - Azul - Distribuidor autorizado,,,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Redmi Note 12s 256gb 8gb Ram Onyx Black Libre,#628335621,,,,4.8,,MercadoLíder Gold,+5mil
Xiaomi 12T Dual SIM 256 GB negro 8 GB RAM,,2.399,Nuevo | +25 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
Apple iPhone 14 (128 GB) - Blanco estelar - Distribuidor autorizado,,,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Nokia 110 (2019) Dual SIM 4 MB negro 4 MB RAM,,74,Nuevo | +100 vendidos,a todo el país,4.3,,MercadoLíder Gold,+1000
Samsung Galaxy Z Flip4 5G 5G 256 GB gold/yellow/yellow 8 GB RAM,,3.499,Nuevo | 2 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
"Apple iPhone SE (3ª generación, 64 GB) - Azul medianoche",,1.698,Nuevo | +25 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Samsung Galaxy A54 5G 5G 256 GB awesome violet 8 GB RAM,,1.549,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+500
Samsung Galaxy A13 128 GB black 4 GB RAM,,799,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (512 GB) - Plata,,4.999,Nuevo | 2 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Apple iPhone 14 (128 GB) - (PRODUCT)RED - Distribuidor autorizado,,,Nuevo | 4 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Samsung Galaxy A53 5G 5G Dual SIM 128 GB durazno asombroso 8 GB RAM,,1.549,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Samsung Galaxy S22 (Snapdragon) 5G Dual SIM 128 GB phantom black 8 GB RAM,,2.499,Nuevo | +25 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (512 GB) - Grafito,,4.999,Nuevo | 2 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Google Pixel 7 128 GB nieve 8 GB RAM,,2.799,Nuevo | +5 vendidos,a todo el país,5.0,,MercadoLíder,+50
Xiaomi Mi 11T Pro Dual SIM 256 GB azul celestial 8 GB RAM,,1.999,Nuevo | +500 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Apple iPhone 14 Pro (256 GB) - Morado oscuro - Distribuidor autorizado,,,Nuevo | 2 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 12 Pro (256 GB) - Grafito,,4.499,Nuevo | +25 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro Max (512 GB) - Grafito,,5.999,Nuevo | 4 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
Moto E22i 64 GB gris 2 GB RAM,,399,Nuevo | +50 vendidos,a todo el país,,,MercadoLíder Gold,+100
